name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,positions_list,primary_position,positions_count,flag_missing_birth_date,flag_overall_gt_potential,flag_non_positive_value,flag_non_positive_wage,player_key
H. Piedra,Hamilton Piedra,1993-02-20,32.9,182.88,78.0,GK,Ecuador,65,69,,,Right,1,3,1,Lean,,,,,,15,14,19,31,14,17,20,13,18,24,42,41,59,55,53,21,59,42,54,13,25,24,20,12,28,34,10,20,13,['GK'],GK,1,False,False,False,False,hamilton-piedra-1993-02-20
F. Sotoca,Florian Sotoca,1990-10-25,35.2,187.96,81.2,"ST,RW",France,70,70,1900000.0,4000.0,Right,1,3,3,Normal,3300000.0,,,,,70,69,67,66,67,64,61,63,65,67,81,82,66,64,53,72,74,75,73,61,66,32,69,61,60,60,34,39,42,"['ST', 'RW']",ST,2,False,False,False,False,florian-sotoca-1990-10-25
J. McNulty,Jim McNulty,1985-02-13,40.9,182.88,77.1,CB,Scotland,62,62,120000.0,1000.0,Left,1,2,2,Lean,210000.0,,,,,52,32,59,58,48,51,53,29,51,60,41,50,61,58,62,50,63,61,71,43,60,58,27,44,30,60,59,62,59,['CB'],CB,1,False,False,False,False,jim-mcnulty-1985-02-13
R. Tarifeño,Renato Tarifeño,1996-09-06,29.4,170.18,64.9,ST,Chile,65,76,950000.0,1000.0,Right,1,3,3,Lean,1500000.0,,,,,51,71,39,64,63,65,58,35,57,67,77,83,82,58,71,68,63,52,42,62,30,21,70,50,56,60,21,24,33,['ST'],ST,1,False,False,False,False,renato-tarife-o-1996-09-06
C. Cuesta,Carlos Cuesta,1999-03-09,26.9,172.72,68.0,CB,Colombia,64,79,875000.0,1000.0,Right,1,3,2,Normal,1800000.0,,,,,28,21,69,66,33,40,32,20,35,48,78,80,76,62,68,31,75,68,73,30,50,62,20,36,34,55,55,65,65,['CB'],CB,1,False,False,False,False,carlos-cuesta-1999-03-09
I. Gelios,Ioannis Gelios,1992-04-24,33.7,190.5,76.2,GK,Greece,63,67,325000.0,1000.0,Right,1,3,1,Lean,496000.0,,,,,12,8,15,28,12,12,12,14,15,16,49,42,41,56,39,19,69,36,61,10,38,12,10,12,17,33,10,15,14,['GK'],GK,1,False,False,False,False,ioannis-gelios-1992-04-24
Yu In Soo,유인수 禹仁秀,1994-12-28,31.1,152.4,68.9,"CAM,RM,LM",Korea Republic,57,64,150000.0,1000.0,Right,1,3,2,Normal,218000.0,,,,,48,56,41,50,48,60,46,47,52,61,74,71,60,49,66,54,67,61,60,56,47,43,55,51,49,52,32,38,40,"['CAM', 'RM', 'LM']",CAM,3,False,False,False,False,1994-12-28
S. Longo,Samuele Longo,1992-01-12,34.0,185.42,78.0,ST,Italy,72,73,3700000.0,40000.0,Right,1,3,3,Lean,,,,,,56,71,67,65,73,71,58,43,40,72,74,75,75,73,64,73,80,65,76,67,80,28,72,62,64,79,54,24,19,['ST'],ST,1,False,False,False,False,samuele-longo-1992-01-12
R. Knoche,Robin Knoche,1992-05-22,33.7,190.5,77.1,CB,Germany,76,79,8000000.0,36000.0,Right,2,4,2,Lean,14200000.0,,,,,30,38,79,66,28,42,33,39,69,57,50,46,52,74,49,58,67,61,78,35,68,79,37,39,37,71,76,79,75,['CB'],CB,1,False,False,False,False,robin-knoche-1992-05-22
T. Borevković,Toni Borevković,1997-06-18,28.6,193.04,86.2,CB,Croatia,68,77,1200000.0,3000.0,Right,1,3,2,Normal,2800000.0,,,,,31,26,63,68,31,41,34,30,54,44,50,60,31,57,39,40,61,64,85,28,64,59,27,28,44,58,68,73,68,['CB'],CB,1,False,False,False,False,toni-borevkovi-1997-06-18
Camilo,Camilo da Silva Sanvezzo,1988-07-21,37.5,170.18,72.1,ST,Brazil,74,74,5500000.0,12000.0,Right,1,4,4,Normal,9400000.0,,,,,70,73,68,65,76,77,73,79,60,75,77,78,81,70,77,79,76,72,65,70,55,29,70,66,73,72,21,38,33,['ST'],ST,1,False,False,False,False,camilo-da-silva-sanvezzo-1988-07-21
N. Redmond,Nathan Redmond,1994-03-06,31.9,172.72,68.9,"LM,RW",England,75,79,8500000.0,36000.0,Right,2,3,4,Lean,16800000.0,,,,,72,66,33,72,55,81,69,65,61,79,86,83,90,64,88,80,43,69,43,75,38,22,73,72,57,68,23,26,30,"['LM', 'RW']",LM,2,False,False,False,False,nathan-redmond-1994-03-06
R. Parkes,Romeo Parkes,1990-11-11,35.2,193.04,88.0,ST,Jamaica,55,55,90000.0,1000.0,Right,1,2,2,Normal,140000.0,,,,,32,55,56,45,47,50,38,30,31,49,63,62,56,48,42,58,65,62,80,51,61,16,50,48,58,50,14,10,15,['ST'],ST,1,False,False,False,False,romeo-parkes-1990-11-11
A. Sissoko,Abdulwahid Sissoko,1990-03-20,35.8,182.88,74.8,"CDM,CM",Mali,70,70,1400000.0,10000.0,Left,1,3,2,Lean,2900000.0,,,,,69,61,61,65,58,54,54,47,63,73,67,69,71,72,62,72,68,83,74,52,74,70,66,64,52,68,70,65,61,"['CDM', 'CM']",CDM,2,False,False,False,False,abdulwahid-sissoko-1990-03-20
W. O'Hora,Warren O'Hora,1999-04-19,26.8,190.5,83.9,CB,Republic of Ireland,55,73,170000.0,2000.0,Right,1,3,2,Lean,429000.0,,,,,35,24,55,53,32,37,38,29,51,34,51,52,44,51,50,38,67,67,73,16,48,51,26,34,40,44,50,56,54,['CB'],CB,1,False,False,False,False,warren-o-hora-1999-04-19
Lucas Venuto,Lucas Henrique Ferreira Venuto,1995-01-14,31.0,165.1,59.9,"RM,ST",Brazil,67,72,1000000.0,3000.0,Right,1,4,3,Lean,1600000.0,,,,,55,65,45,58,49,71,64,58,55,69,90,86,92,60,92,58,83,72,31,58,59,37,61,58,62,58,19,37,38,"['RM', 'ST']",RM,2,False,False,False,False,lucas-henrique-ferreira-venuto-1995-01-14
F. Kalig,Fabian Kalig,1993-03-28,32.8,154.94,78.0,CB,Germany,68,70,925000.0,3000.0,Right,1,3,2,Normal,1500000.0,,,,,49,40,64,57,38,57,48,39,48,49,67,64,65,68,68,52,84,68,68,37,74,67,41,47,51,56,63,69,70,['CB'],CB,1,False,False,False,False,fabian-kalig-1993-03-28
N. Bajrami,Nedim Bajrami,1999-02-28,26.9,152.4,68.0,"CM,CDM",Switzerland,68,83,1900000.0,3000.0,Right,1,3,3,Lean,3900000.0,,,,,62,59,48,74,53,66,60,47,72,66,73,75,71,64,69,72,63,68,61,51,66,56,68,66,47,70,58,59,61,"['CM', 'CDM']",CM,2,False,False,False,False,nedim-bajrami-1999-02-28
L. Peltier,Lee Peltier,1986-12-11,39.1,152.4,73.0,"RB,RWB,LB",England,69,69,700000.0,19000.0,Right,1,2,2,Normal,1400000.0,,,,,60,40,63,62,28,60,49,38,55,63,65,57,53,65,70,32,83,70,66,39,80,73,56,57,38,63,72,74,73,"['RB', 'RWB', 'LB']",RB,3,False,False,False,False,lee-peltier-1986-12-11
Yuri Berchiche,Yuri Berchiche Izeta,1990-02-10,35.9,154.94,79.8,LB,Spain,77,77,7000000.0,23000.0,Left,2,3,3,Normal,14700000.0,,,,,76,56,72,70,59,70,77,55,68,74,78,77,76,72,73,78,85,82,77,77,85,69,49,48,59,75,76,78,80,['LB'],LB,1,False,False,False,False,yuri-berchiche-izeta-1990-02-10
K. Rendón,Kevin Rendón,1993-01-08,33.0,182.88,73.9,"CM,CAM",Colombia,64,67,550000.0,1000.0,Right,1,3,3,Lean,784000.0,,,,,63,53,58,67,58,63,67,70,59,63,74,75,71,61,64,66,57,74,66,54,67,59,64,65,60,62,42,58,55,"['CM', 'CAM']",CM,2,False,False,False,False,kevin-rend-n-1993-01-08
S. Spahiu,Sebastjan  Spahiu,1999-10-30,26.2,172.72,73.9,CM,Belgium,60,72,350000.0,1000.0,Right,1,3,2,Normal,578000.0,,,,,48,41,60,64,46,61,45,46,61,62,69,66,70,55,75,53,67,64,58,38,57,56,61,60,37,62,43,53,48,['CM'],CM,1,False,False,False,False,sebastjan-spahiu-1999-10-30
M. Sabitzer,Marcel Sabitzer,1994-03-17,31.8,152.4,77.1,"CAM,CM",Austria,81,84,22500000.0,54000.0,Right,2,4,3,Normal,39900000.0,Austria,77.0,LM,9.0,70,79,56,79,78,79,74,63,67,81,83,77,75,85,79,86,75,84,76,81,70,55,81,79,65,75,58,55,51,"['CAM', 'CM']",CAM,2,False,False,False,False,marcel-sabitzer-1994-03-17
S. Vecchia,Stefano Vecchia,1995-01-23,31.0,182.88,79.8,"RM,LM,RW",Sweden,64,69,600000.0,1000.0,Right,1,2,3,Normal,795000.0,,,,,61,51,32,64,45,67,64,37,47,66,80,74,76,53,69,62,56,70,64,50,49,32,59,62,41,66,46,30,26,"['RM', 'LM', 'RW']",RM,3,False,False,False,False,stefano-vecchia-1995-01-23
Iborra,Vicente Iborra de la Fuente,1988-01-16,38.0,190.5,91.2,"CDM,CM",Spain,79,79,9500000.0,34000.0,Right,2,4,3,Normal,20000000.0,,,,,53,66,79,83,66,69,66,70,81,80,39,35,51,75,31,79,64,66,84,65,75,77,77,76,73,77,78,76,73,"['CDM', 'CM']",CDM,2,False,False,False,False,vicente-iborra-de-la-fuente-1988-01-16
A. Ben Lamin,Adam Ben Lamin,2001-06-02,24.6,182.88,69.9,CB,Sweden,55,69,160000.0,1000.0,Right,1,2,2,Normal,300000.0,,,,,43,24,56,52,27,40,28,28,48,47,65,63,42,45,62,35,58,55,57,19,48,57,29,34,31,39,53,56,56,['CB'],CB,1,False,False,False,False,adam-ben-lamin-2001-06-02
G. Hubert,Guillaume Hubert,1994-01-11,32.0,198.12,88.0,GK,Belgium,66,70,600000.0,4000.0,Right,1,2,1,Lean,885000.0,,,,,19,9,20,29,12,13,13,8,26,25,42,43,33,66,37,19,57,30,68,9,31,18,11,37,16,38,14,16,14,['GK'],GK,1,False,False,False,False,guillaume-hubert-1994-01-11
M. Diallo,Moussa Diallo,1990-11-20,35.2,182.88,78.9,ST,Senegal,60,60,220000.0,2000.0,Right,1,3,2,Normal,319000.0,,,,,31,64,60,48,63,51,35,38,26,56,66,67,65,53,63,62,68,51,61,60,31,17,60,43,66,55,18,16,19,['ST'],ST,1,False,False,False,False,moussa-diallo-1990-11-20
M. Kühne,Matthias Kühne,1987-09-27,38.3,152.4,78.0,"RB,CB",Germany,62,62,220000.0,1000.0,Right,1,3,2,Normal,319000.0,,,,,55,28,51,57,21,54,35,29,53,61,62,65,70,58,70,48,77,66,65,31,64,60,43,42,36,61,65,64,64,"['RB', 'CB']",RB,2,False,False,False,False,matthias-k-hne-1987-09-27
D. Watmore,Duncan Watmore,1994-03-08,31.9,175.26,72.1,"RM,LM,ST",England,68,73,1200000.0,5000.0,Right,1,3,3,Lean,2200000.0,,,,,58,66,49,66,58,70,66,42,56,64,83,79,78,64,82,66,58,67,61,57,46,21,67,60,65,56,51,30,35,"['RM', 'LM', 'ST']",RM,3,False,False,False,False,duncan-watmore-1994-03-08
R. Jackson,Ryan Jackson,1990-07-31,35.5,175.26,64.9,"RB,RWB",England,64,64,375000.0,3000.0,Right,1,3,2,Normal,656000.0,,,,,60,50,47,58,50,60,50,35,53,61,84,85,86,60,83,57,85,88,76,42,49,53,52,50,41,58,60,61,57,"['RB', 'RWB']",RB,2,False,False,False,False,ryan-jackson-1990-07-31
M. Karlsson,Mathias Karlsson,1995-09-01,30.4,185.42,79.8,GK,Sweden,57,62,100000.0,1000.0,Right,1,2,1,Normal,133000.0,,,,,11,6,14,17,7,10,9,11,26,15,31,27,25,56,34,16,55,32,55,6,32,15,3,38,14,37,16,9,13,['GK'],GK,1,False,False,False,False,mathias-karlsson-1995-09-01
K. Brouder,Killian Brouder,1998-08-20,27.4,187.96,77.1,CB,Republic of Ireland,54,64,90000.0,1000.0,Right,1,3,2,Lean,158000.0,,,,,30,16,57,37,23,26,23,25,38,30,43,52,36,44,43,33,70,44,63,25,62,52,22,30,16,44,49,55,56,['CB'],CB,1,False,False,False,False,killian-brouder-1998-08-20
Lee Ji Nam,이지남 李指南,1984-11-21,41.2,182.88,69.9,CB,Korea Republic,65,65,220000.0,2000.0,Right,1,3,2,Lean,275000.0,,,,,52,35,70,57,39,33,46,48,55,54,59,56,62,62,63,42,70,61,70,37,61,65,53,59,48,58,60,65,64,['CB'],CB,1,False,False,False,False,1984-11-21
C. Øyvann,Casper Øyvann,1999-12-07,26.1,185.42,74.8,CB,Norway,51,66,70000.0,1000.0,Right,1,3,2,Normal,131000.0,,,,,25,24,48,39,30,33,28,26,38,42,59,62,39,44,64,42,75,33,67,22,49,45,28,33,33,43,47,51,49,['CB'],CB,1,False,False,False,False,casper-yvann-1999-12-07
P. Retre,Paulo Retre,1993-03-04,32.9,152.4,74.8,"RB,CDM",Australia,62,64,300000.0,2000.0,Right,1,2,2,Lean,398000.0,,,,,42,49,45,62,40,61,37,37,55,62,62,67,72,58,68,48,59,78,66,41,38,66,52,59,59,63,62,60,58,"['RB', 'CDM']",RB,2,False,False,False,False,paulo-retre-1993-03-04
J. Rossiter,Jordan Rossiter,1997-03-24,28.8,152.4,64.0,CDM,England,66,78,1000000.0,9000.0,Right,1,3,2,Lean,,,,,,44,44,57,65,36,57,45,41,63,66,61,62,69,61,71,59,66,71,69,47,74,64,57,54,50,58,62,68,66,['CDM'],CDM,1,False,False,False,False,jordan-rossiter-1997-03-24
G. Álvarez,Gilbert Álvarez,1992-04-07,33.8,187.96,81.2,ST,Bolivia,64,67,,,Right,1,4,3,Normal,,,,,,43,70,68,49,61,51,55,40,34,57,58,69,65,57,58,65,75,69,73,62,51,22,67,38,59,55,25,18,10,['ST'],ST,1,False,False,False,False,gilbert-lvarez-1992-04-07
Ding Haifeng,丁海峰,1991-07-17,34.5,182.88,71.2,"LWB,LM,LB",China PR,65,66,525000.0,4000.0,Left,1,3,3,Lean,1200000.0,,,,,65,47,47,65,42,65,65,69,55,67,81,77,80,64,77,49,53,70,61,31,55,62,60,64,45,59,59,57,54,"['LWB', 'LM', 'LB']",LWB,3,False,False,False,False,1991-07-17
A. Donis,Anastasios Donis,1996-08-29,29.4,152.4,76.2,"ST,RM,LW",Greece,73,83,6500000.0,21000.0,Right,1,4,3,Normal,12400000.0,Greece,75.0,SUB,17.0,45,74,61,68,63,79,47,41,50,78,89,85,78,73,77,70,69,72,63,66,61,20,70,50,69,61,22,18,24,"['ST', 'RM', 'LW']",ST,3,False,False,False,False,anastasios-donis-1996-08-29
A. Al Nazera,Ahmed Al Nazera,1993-02-09,32.9,170.18,68.9,"CAM,RM,LM",Saudi Arabia,62,65,375000.0,5000.0,Right,1,3,3,Normal,647000.0,,,,,63,54,51,65,63,63,50,53,61,61,60,66,63,60,77,64,61,73,64,61,66,26,57,63,63,60,29,21,19,"['CAM', 'RM', 'LM']",CAM,3,False,False,False,False,ahmed-al-nazera-1993-02-09
Alex Muñoz,Alejandro José Muñoz Miguel,1994-07-30,31.5,185.42,77.1,CB,Spain,68,74,1000000.0,4000.0,Left,1,3,2,Lean,1900000.0,,,,,56,34,67,63,37,50,55,49,67,59,68,73,59,65,61,39,73,73,73,25,59,70,55,43,45,58,64,65,69,['CB'],CB,1,False,False,False,False,alejandro-jos-mu-oz-miguel-1994-07-30
K. Tajiri,Ken Tajiri,1993-06-11,32.6,182.88,76.2,GK,Japan,55,60,80000.0,1000.0,Right,1,3,1,Normal,106000.0,,,,,10,7,13,15,8,10,11,11,20,14,34,32,34,50,44,16,56,45,58,9,27,11,15,26,14,21,7,11,14,['GK'],GK,1,False,False,False,False,ken-tajiri-1993-06-11
M. Rømer,Marcel Rømer,1991-08-08,34.5,154.94,81.2,"CAM,CM",Denmark,63,64,425000.0,3000.0,Right,1,3,3,Normal,563000.0,,,,,58,44,46,68,47,63,36,58,65,67,57,67,64,69,72,65,64,81,75,52,79,66,57,62,38,66,48,63,63,"['CAM', 'CM']",CAM,2,False,False,False,False,marcel-r-mer-1991-08-08
E. Blanco,Elkin Blanco Rivas,1989-09-05,36.4,152.4,78.9,CDM,Colombia,70,70,1400000.0,1000.0,Right,1,3,2,Stocky,1900000.0,,,,,58,53,63,68,55,54,49,40,64,68,69,74,65,66,63,65,66,79,81,51,80,72,55,53,52,70,64,71,70,['CDM'],CDM,1,False,False,False,False,elkin-blanco-rivas-1989-09-05
Jou Silva,Jorge Santos Silva,1987-04-23,38.7,154.94,69.9,"LM,ST,LW",Brazil,66,66,575000.0,6000.0,Right,1,3,3,Normal,949000.0,,,,,58,69,64,61,59,65,61,63,53,67,75,75,63,63,52,65,61,69,72,65,49,26,65,57,65,56,34,25,29,"['LM', 'ST', 'LW']",LM,3,False,False,False,False,jorge-santos-silva-1987-04-23
S. Otayf,Saqer Otayf,1990-09-03,35.4,170.18,66.2,"ST,CAM",Saudi Arabia,60,60,220000.0,3000.0,Right,1,2,3,Stocky,363000.0,,,,,51,61,45,65,56,66,42,31,62,63,61,59,68,62,69,52,60,65,66,60,52,40,61,55,63,60,35,17,13,"['ST', 'CAM']",ST,2,False,False,False,False,saqer-otayf-1990-09-03
A. Özbiliz,Aras Özbiliz,1990-03-09,35.9,175.26,72.1,RW,Armenia,73,73,4000000.0,40000.0,Left,2,3,4,Normal,,,,,,76,72,41,74,70,76,77,80,70,76,79,77,82,62,79,79,65,61,57,78,35,44,65,67,74,62,30,28,23,['RW'],RW,1,False,False,False,False,aras-zbiliz-1990-03-09
L. Martínez,Luis Armando Martínez,1999-04-03,26.8,175.26,77.1,RB,Mexico,57,71,200000.0,1000.0,Right,1,2,2,Normal,465000.0,,,,,45,31,53,53,29,62,36,41,47,40,69,54,53,55,68,31,56,62,57,28,54,54,49,37,45,38,49,67,64,['RB'],RB,1,False,False,False,False,luis-armando-mart-nez-1999-04-03
PC,Victor Pagliari Giro,1994-03-10,31.9,172.72,73.0,LB,Brazil,63,70,425000.0,1000.0,Left,1,2,2,Normal,701000.0,,,,,56,42,51,62,36,63,47,35,57,50,73,63,75,59,76,56,55,66,60,40,57,63,52,44,41,67,57,66,68,['LB'],LB,1,False,False,False,False,victor-pagliari-giro-1994-03-10
M. Breij,Michael Breij,1997-01-15,29.0,154.94,72.1,CAM,Netherlands,65,73,800000.0,2000.0,Right,1,4,3,Normal,1400000.0,,,,,60,59,52,64,54,68,61,58,53,65,69,66,70,63,66,68,55,72,56,60,42,36,61,63,58,62,50,34,34,['CAM'],CAM,1,False,False,False,False,michael-breij-1997-01-15
M. Ortega,Miguel René Ortega Rodríguez,1995-04-13,30.8,193.04,73.9,GK,Mexico,61,71,300000.0,5000.0,Left,1,2,1,Lean,540000.0,,,,,12,7,10,20,9,9,10,11,29,15,29,29,58,48,25,21,58,26,59,5,19,6,7,39,21,37,17,10,12,['GK'],GK,1,False,False,False,False,miguel-ren-ortega-rodr-guez-1995-04-13
C. Guanca,Cristian Guanca,1993-03-26,32.8,152.4,78.0,"ST,LM,CAM",Argentina,70,73,2300000.0,8000.0,Left,1,3,3,Normal,,,,,,60,73,59,67,59,73,46,40,57,70,79,78,75,65,68,73,67,67,71,67,54,36,65,65,59,68,34,35,33,"['ST', 'LM', 'CAM']",ST,3,False,False,False,False,cristian-guanca-1993-03-26
Omar Ramos,Julián Omar Ramos Suárez,1988-01-26,38.0,175.26,66.2,"RM,LM",Spain,73,73,3800000.0,10000.0,Left,1,3,3,Lean,6000000.0,,,,,75,63,46,71,54,77,84,61,65,73,78,74,84,65,78,62,67,66,55,70,58,30,69,73,73,70,40,32,35,"['RM', 'LM']",RM,2,False,False,False,False,juli-n-omar-ramos-su-rez-1988-01-26
E. Wearen,Eoin Wearen,1992-10-02,33.3,185.42,72.1,"CDM,CB,CM",Republic of Ireland,55,57,90000.0,1000.0,Right,1,3,2,Normal,146000.0,,,,,54,56,54,58,55,55,54,54,55,55,54,55,62,51,66,57,57,62,53,56,58,50,53,58,58,53,55,49,47,"['CDM', 'CB', 'CM']",CDM,3,False,False,False,False,eoin-wearen-1992-10-02
S. Wamangituka,Silas Wamangituka,1999-10-06,26.3,187.96,83.9,ST,DR Congo,64,81,950000.0,1000.0,Right,1,3,3,Lean,2300000.0,,,,,36,64,60,57,54,66,47,33,41,65,80,78,57,56,47,66,62,56,73,49,31,17,57,57,66,65,18,17,16,['ST'],ST,1,False,False,False,False,silas-wamangituka-1999-10-06
B. Reid,Bobby Reid,1993-02-02,33.0,170.18,68.0,"ST,CF",England,73,76,5000000.0,37000.0,Right,1,3,3,Lean,10400000.0,,,,,67,74,63,71,69,74,61,62,64,74,84,78,87,75,86,67,72,83,60,72,46,56,77,71,70,66,50,55,54,"['ST', 'CF']",ST,2,False,False,False,False,bobby-reid-1993-02-02
M. Fischer,Manfred Fischer,1995-08-06,30.5,152.4,72.1,"CM,RM,LM",Austria,62,70,450000.0,2000.0,Left,1,4,2,Normal,743000.0,,,,,57,59,40,63,53,68,69,61,55,65,74,76,66,60,66,55,46,72,50,63,36,47,60,63,55,46,29,45,28,"['CM', 'RM', 'LM']",CM,3,False,False,False,False,manfred-fischer-1995-08-06
M. Mitrović,Matej Mitrović,1993-11-10,32.2,187.96,84.8,CB,Croatia,73,78,4500000.0,14000.0,Right,1,2,2,Stocky,6700000.0,,,,,56,44,76,66,42,59,39,37,68,64,52,51,52,68,42,68,53,71,82,48,76,70,44,44,60,60,72,76,71,['CB'],CB,1,False,False,False,False,matej-mitrovi-1993-11-10
Xavi Molina,Francesc Xavier Molina Arias,1986-07-19,39.5,182.88,78.0,"RB,CB",Spain,68,68,575000.0,5000.0,Right,1,3,2,Normal,834000.0,,,,,60,43,72,67,33,61,49,42,66,64,66,65,68,69,64,58,65,71,72,45,78,68,58,61,37,68,67,70,66,"['RB', 'CB']",RB,2,False,False,False,False,francesc-xavier-molina-arias-1986-07-19
